FilmName	OscarYear	Duration	Rating	DirectorName	DirectorGender	OscarWinner	GenreName	Genre_Drama	Genre_Bio	CountryName	ForeignandUSA	ProductionName	ProductionCompany	BudgetRevised	Budget	DomesticBoxOffice	WorldwideRevised	WorldwideBoxOffice	DomesticPercent	LimitedOpeningWnd	LimitedTheaters	LimitedAveragePThtr	WideOpeningWkd	WideTheaters	WideTheaterAverage	WidestTheaters	Days	Rotten	Metacritic	IMDb	CriticAverage	MPrinicpalCast	FPrincipalCast	FPercentPrincipalCast	MLeadTime	FLeadTime	GuestMLeadTIme	GuestFLEadTime	MLeadPercentinFilm	FLeadPercentinFilm	GMLeadPerinFilm	GFLeadPerinFilm	M/FDifference	F/MRatio	M/FPercentMore	FHighLow	LeadTime	MorF	MaleLAA	FemaleLAA
Les Miserables	2013	158	3	Hooper	0	0	"Drama, Musical, Romance"	1	0	"USA, UK"	1	Universal Pictures	13	61	61000000	148775460	441.81	441809770	0.337	NA	NA	NA	27281735	2814	9695	2297	101	70	63	7.6	69.67	4	3	0.43	48.36	16.57	NA	NA	0.306	0.105		*	0.201	0.3431	0.657	0	48.36	0	0	0
Life of Pi	2013	127	2	Lee	0	0	"Drama, Adventure, Fantasy"	1	0	"USA, UK, Taiwan"	1	Twentieth Century Fox	12	120	120000000	124976634	609.02	609016565	0.205	NA	NA	NA	22451514	2946	7621	2946	247	87	79	8	82	6	1	0.14	64.57	3.52	NA	NA	0.508	0.028		*	0.48	0.0551	0.945	0	64.57	0	0	0
Lincoln	2013	149	3	Spielberg	0	0	"Drama, Biography, History"	1	1	"USA, India"	1	Walt Disney Studios	14	65	65000000	182204440	275.29	275293450	0.662	944308	11	"85,846"	21049406	1775	11859	2293	168	90	88	7.4	84	1	0	0	70.12	13.35	NA	NA	0.471	0.09		*	0.381	0.1911	0.81	0	70.12	0	0	0
Silver Linings Playbook	2013	122	4	Russell	0	0	"Drama, Comedy, Romance"	1	0	USA	0	The Weinstein Company	17	21	21000000	132088910	236.41	236412453	0.559	443003	16	"27,688"	4079314	745	5476	2809	203	92	81	7.8	83.67	3	3	0.5	68.56	46.38	NA	48.3	0.562	0.38		0.3959	0.182	0.6762	0.324	1	68.56	0	0	0
Zero Dark Thirty	2013	157	4	Bigelow	1	0	"Drama, History, Thriller"	1	0	USA	0	Colombia Pictures	1	40	40000000	95720716	132.82	132820716	0.721	"417,150"	5	"83,430"	24438936	2937	8321	2946	103	93	95	7.4	87.33	5	2	0.29	22.23	48.12	NA	NA	0.142	0.306			-0.164	2.1549	-1.165	1	22.23	0	0	0
12 Years a Slave	2014	134	4	McQueen	0	1	"Drama, Biography, History"	1	1	"USA, UK"	1	Fox Searchlight Pictures	3	20	20000000	56667870	187.73	187733202	0.302	"923,715"	19	"48,617"	6675731	1144	5835	1474	203	96	97	8.1	91.33	8	2	0.2	87.24	8.14	NA	NA	0.651	0.061			0.59	0.0937	0.907	0	87.24	0	1	1
American Hustle	2014	138	4	Russell	0	0	"Drama, Crime"	1	0	USA	0	Colombia Pictures	1	40	40000000	150117807	251.17	251171807	0.598	740455	6	"123,409"	19106933	2507	7621	2629	115	93	90	7.3	85.33	6	2	0.25	58.29	45.5	NA	NA	0.422	0.33			0.092	0.782	0.219	1	58.29	0	0	0
Captain Phillips	2014	134	3	Greengrass	0	0	"Drama, Biography, Thriller"	1	1	USA	0	Colombia Pictures	1	55	55000000	107100855	218.79	218791811	0.49	NA	NA	NA	25718314	3020	8516	3143	143	93	83	7.9	85	3	1	0.25	48.5	1.25	NA	NA	0.362	0.009			0.353	0.0249	0.974	0	48.5	0	1	0
Dallas Buyers Club	2014	117	4	Vallee	0	0	"Drama, Biography"	1	1	USA	0	Warner Brothers Pictures	15	5	5000000	27296514	55.2	55198285	0.495	260865	9	"28,985"	2687157	666	4035	1110	182	94	84	8	86	2	1	0.33	83.23	23.53	NA	NA	0.711	0.201			0.51	0.2827	0.717	1	83.23	0	0	0
Gravity	2014	91	3	Cuaron	0	0	"Science Fiction, Thriller"	0	0	"USA, UK"	1	Warner Brothers Pictures	15	100	100000000	274084951	723.19	723192705	0.379	NA	NA	NA	55785112	3575	15604	3820	217	97	96	7.9	90.67	1	1	0.5	20.48	61.45	NA	NA	0.225	0.675			-0.45	3	-2	1	20.48	0	0	0
Her	2014	126	4	Jonze	0	0	"Drama, Romance, Science Fiction"	1	0	USA	0	Warner Brothers Pictures	15	23	23000000	25556065	47.35	47351251	0.54	"260,382"	6	"43,397"	5383775	1729	3114	1729	121	94	90	8	88	2	5	0.71	105.23	12.2	NA	NA	0.835	0.097			0.738	0.1162	0.884	0	105.23	0	0	0
Nebraska	2014	115	4	Payne	0	0	"Drama, Comedy, Adventure"	1	0	USA	0	Paramount Pictures	6	12	12000000	17613460	19.18	19184912	0.918	"140,401"	4	"35,100"	1552426	968	1604	968	126	91	86	7.8	85	4	1	0.2	71.37	17.4	NA	NA	0.621	0.151			0.47	0.2432	0.756	1	71.37	0	0	0
Philomena	2014	98	3	Frears	0	0	"Drama, Biography"	1	1	"USA, UK, France"	1	Twentieth Century Fox	12	12	12000000	37707719	100.13	100129872	0.377	"128,435"	4	"32,109"	3676001	835	4402	1225	182	92	76	7.6	81.33	1	1	0.5	48.06	44.13	NA	NA	0.49	0.45			0.04	0.9184	0.082	1	48.06	0	0	0
The Wolf of Wall Street	2014	180	4	Scorcese	0	0	"Biography, Comedy, Crime"	0	1	USA	0	Paramount Pictures	6	100	100000000	116866727	392	392000694	0.298	NA	NA	NA	18361578	2537	7238	2557	100	77	75	8.2	78	10	2	0.17	117.55	22.38	NA	NA	0.653	0.124			0.529	0.1899	0.81	0	117.55	0	0	0
																																															9.04	1		
																																															12.47	1		
																																															15.22	1		
																																															7.57	1		
																																															7.33	1		
																																															17.15	1		
																																															25.49	1		
																																															3.25	1		
																																															30.54	1		
																																															42.39	1		
																																															6.54	1		
																																															26.11	1		
																																															63.19	1		
																																															14.41	1		
																																															4.44	1		
																																															10.12	1		
																																															42.28	1		
																																															10.12	1		
																																															6.39	1		
																																															37.25	1		
																																															0.37	1		
																																															37.33	1		
																																															43.31	1		
																																															2.38	1		
																																															66.46	1		
																																															21.43	1		
																																															58.35	1		
																																															4.54	1		
																																															2.52	1		
																																															27.38	1		
																																															21.32	1		
																																															4.36	1		
																																															83.42	1		
																																															22.16	1		
																																															24.02	1		
																																															42.56	1		
																																															5.23	1		
																																															19.41	1		
																																															48.57	1		
																																															59.04	1		
																																															27.46	1		
																																															30.16	1		
																																															18.33	1		
																																															46.3	1		
																																															27.52	1		
																																															21.42	1		
																																															3.55	1		
																																															25.18	1		
																																															12.41	1		
																																															5.29	1		
																																															60.02	1		
																																															47.05	1		
																																															15.24	1		
																																															16.57	1		
																																															3.52	1		
																																															13.35	1		
																																															46.38	1		
																																															48.12	1		
																																															8.14	1		
																																															45.5	1		
																																															1.25	1		
																																															23.53	1		
																																															61.45	1		
																																															12.2	1		
																																															17.4	1		
																																															44.13	1		
																																															22.38	1		
